FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,fips,LaborForce_CurrentMonth,LaborForce_01Month,LaborForce_02Month,LaborForce_03Month,LaborForce_04Month,LaborForce_05Month,LaborForce_06Month,LaborForce_07Month,LaborForce_08Month,LaborForce_09Month,LaborForce_10Month,LaborForce_11Month,LaborForce_12Month,LaborForce_13Month,Employed_CurrentMonth,Employed_01Month,Employed_02Month,Employed_03Month,Employed_04Month,Employed_05Month,Employed_06Month,Employed_07Month,Employed_08Month,Employed_09Month,Employed_10Month,Employed_11Month,Employed_12Month,Employed_13Month,Unemployed_CurrentMonth,Unemployed_01Month,Unemployed_02Month,Unemployed_03Month,Unemployed_04Month,Unemployed_05Month,Unemployed_06Month,Unemployed_07Month,Unemployed_08Month,Unemployed_09Month,Unemployed_10Month,Unemployed_11Month,Unemployed_12Month,Unemployed_13Month,PctUnemployed_CurrentMonth,PctUnemployed_01Month,PctUnemployed_02Month,PctUnemployed_03Month,PctUnemployed_04Month,PctUnemployed_05Month,PctUnemployed_06Month,PctUnemployed_07Month,PctUnemployed_08Month,PctUnemployed_09Month,PctUnemployed_10Month,PctUnemployed_11Month,PctUnemployed_12Month,PctUnemployed_13Month,CurrentMonth,P01Month,P02Month,P03Month,P04Month,P05Month,P06Month,P07Month,P08Month,P09Month,P10Month,P11Month,P12Month,P13Month,SHAPE_Length,SHAPE_Area
11,00161536,01021,1794477075,20592142,Chilton County,Alabama,01021,19380,19691,19591,19958,19898,19946,19885,19786,19978,19808,19603,19715,19813,19832,18807,19212,19032,19498,19447,19481,19418,19257,19425,19241,19175,19249,19194,19137,573,479,559,460,451,465,467,529,553,567,428,466,619,695,3,2.4,2.9,2.3,2.3,2.3,2.3,2.7,2.8,2.9,2.2,2.4,3.1,3.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.08660882165303,0.174830977542305
12,00161537,01023,2365869841,19144469,Choctaw County,Alabama,01023,4491,4532,4511,4603,4525,4567,4547,4486,4559,4607,4589,4774,4905,4911,4243,4308,4269,4407,4343,4372,4349,4274,4320,4370,4420,4587,4668,4635,248,224,242,196,182,195,198,212,239,237,169,187,237,276,5.5,4.9,5.4,4.3,4,4.3,4.4,4.7,5.2,5.1,3.7,3.9,4.8,5.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.68653145251394,0.227669168268857
13,00161538,01025,3207494106,36657891,Clarke County,Alabama,01025,7363,7389,7406,7496,7409,7456,7456,7485,7547,7661,7544,7564,7640,7720,6870,6975,6947,7089,7058,7089,7063,7021,7059,7192,7205,7207,7183,7152,493,414,459,407,351,367,393,464,488,469,339,357,457,568,6.7,5.6,6.2,5.4,4.7,4.9,5.3,6.2,6.5,6.1,4.5,4.7,6,7.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,3.78523562183013,0.308554041552173
14,00161539,01027,1564251834,5285207,Clay County,Alabama,01027,5990,6086,6065,6105,6110,6147,6154,6094,6097,6075,6019,6070,6112,6128,5793,5924,5867,5942,5962,6001,6008,5917,5896,5873,5869,5912,5906,5889,197,162,198,163,148,146,146,177,201,202,150,158,206,239,3.3,2.7,3.3,2.7,2.4,2.4,2.4,2.9,3.3,3.3,2.5,2.6,3.4,3.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.02278769857415,0.151892252360192
15,00161540,01029,1450663786,2354896,Cleburne County,Alabama,01029,5623,5716,5682,5821,5757,5792,5811,5777,5860,5823,5757,5783,5818,5850,5414,5549,5490,5664,5615,5648,5667,5612,5684,5633,5608,5611,5597,5607,209,167,192,157,142,144,144,165,176,190,149,172,221,243,3.7,2.9,3.4,2.7,2.5,2.5,2.5,2.9,3,3.3,2.6,3,3.8,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.17512704645401,0.141263427196978
16,00161541,01031,1758565919,3907189,Coffee County,Alabama,01031,20887,21190,21004,21198,21161,21263,21386,21369,21455,21625,21433,21451,21534,21597,20216,20631,20349,20692,20663,20739,20849,20771,20853,20957,20923,20888,20804,20768,671,559,655,506,498,524,537,598,602,668,510,563,730,829,3.2,2.6,3.1,2.4,2.4,2.5,2.5,2.8,2.8,3.1,2.4,2.6,3.4,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.6788250155239,0.16714795699894
17,00161542,01033,1535202321,79700278,Colbert County,Alabama,01033,23231,23541,23275,23527,23719,23759,23668,23564,23692,23550,23572,23684,23709,23715,22297,22664,22298,22739,23015,23045,22913,22700,22713,22586,22847,22915,22724,22538,934,877,977,788,704,714,755,864,979,964,725,769,985,1177,4,3.7,4.2,3.3,3,3,3.2,3.7,4.1,4.1,3.1,3.2,4.2,5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.19893806418683,0.158887444339465
18,00161543,01035,2202007855,6632046,Conecuh County,Alabama,01035,4413,4469,4440,4483,4462,4510,4548,4556,4622,4562,4501,4543,4544,4553,4223,4299,4248,4329,4316,4353,4389,4379,4435,4372,4361,4375,4337,4322,190,170,192,154,146,157,159,177,187,190,140,168,207,231,4.3,3.8,4.3,3.4,3.3,3.5,3.5,3.9,4,4.2,3.1,3.7,4.6,5.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.60100060999267,0.209519539095395
19,00161544,01037,1685850815,39987271,Coosa County,Alabama,01037,4430,4469,4452,4525,4516,4544,4562,4576,4589,4598,4543,4532,4554,4527,4277,4339,4297,4416,4412,4435,4449,4441,4443,4447,4435,4411,4396,4356,153,130,155,109,104,109,113,135,146,151,108,121,158,171,3.5,2.9,3.5,2.4,2.3,2.4,2.5,3,3.2,3.3,2.4,2.7,3.5,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.75342708740589,0.166398767743803
20,00161545,01039,2669134207,34226200,Covington County,Alabama,01039,15269,15489,15313,15532,15528,15659,15799,15594,15778,15705,15522,15668,15731,15706,14698,14993,14758,15073,15115,15230,15353,15053,15235,15144,15100,15144,15112,15016,571,496,555,459,413,429,446,541,543,561,422,524,619,690,3.7,3.2,3.6,3,2.7,2.7,2.8,3.5,3.4,3.6,2.7,3.3,3.9,4.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.38269499054512,0.255968089497857
21,00161546,01041,1576952799,5388562,Crenshaw County,Alabama,01041,6268,6410,6257,6350,6388,6482,6597,6399,6597,6524,6492,6528,6490,6525,6057,6226,6040,6201,6240,6341,6449,6226,6398,6339,6358,6365,6264,6270,211,184,217,149,148,141,148,173,199,185,134,163,226,255,3.4,2.9,3.5,2.3,2.3,2.2,2.2,2.7,3,2.8,2.1,2.5,3.5,3.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.32609677315448,0.150584805654792
22,00161547,01043,1902970816,52525039,Cullman County,Alabama,01043,38167,38597,38433,38760,38779,38849,38902,38204,38527,38692,38507,38613,38907,38678,37065,37624,37341,37929,37959,38013,38037,37201,37511,37576,37672,37710,37714,37452,1102,973,1092,831,820,836,865,1003,1016,1116,835,903,1193,1226,2.9,2.5,2.8,2.1,2.1,2.2,2.2,2.6,2.6,2.9,2.2,2.3,3.1,3.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.45886424584409,0.191118226994832
23,00161548,01045,1453244559,4082940,Dale County,Alabama,01045,20308,20567,20496,20648,20668,20771,20774,20705,20775,20783,20687,20630,20827,20833,19658,20007,19837,20126,20158,20247,20240,20097,20128,20081,20158,20055,20064,19981,650,560,659,522,510,524,534,608,647,702,529,575,763,852,3.2,2.7,3.2,2.5,2.5,2.5,2.6,2.9,3.1,3.4,2.6,2.8,3.7,4.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.65009320969368,0.138250935285687
24,00161549,01047,2534919607,39124778,Dallas County,Alabama,01047,14448,14600,14490,14546,14524,14628,14742,14533,14934,14541,14564,14779,14893,14996,13616,13852,13687,13915,13913,13980,13981,13695,13981,13655,13919,14104,14028,13937,832,748,803,631,611,648,761,838,953,886,645,675,865,1059,5.8,5.1,5.5,4.3,4.2,4.4,5.2,5.8,6.4,6.1,4.4,4.6,5.8,7.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,3.11727785383432,0.246525247202701
25,00161550,01049,2012676480,4121543,DeKalb County,Alabama,01049,30519,30960,30600,30958,30847,31115,31301,30999,31758,31358,30909,31021,31078,30855,29549,30135,29625,30235,30156,30405,30577,30164,30877,30402,30194,30258,30026,29706,970,825,975,723,691,710,724,835,881,956,715,763,1052,1149,3.2,2.7,3.2,2.3,2.2,2.3,2.3,2.7,2.8,3,2.3,2.5,3.4,3.7,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.21433397881474,0.197866358385141
26,00161551,01051,1601768864,99957936,Elmore County,Alabama,01051,36704,37151,37258,37543,37508,37549,37250,37408,37641,37763,37733,37567,37670,37654,35611,36183,36157,36694,36673,36677,36408,36447,36661,36700,36939,36721,36540,36437,1093,968,1101,849,835,872,842,961,980,1063,794,846,1130,1217,3,2.6,3,2.3,2.2,2.3,2.3,2.6,2.6,2.8,2.1,2.3,3,3.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.26218539293154,0.163461119292588
27,00161552,01053,2448115116,20504948,Escambia County,Alabama,01053,14626,14679,14629,14787,14802,14886,14819,14766,14852,14767,14653,14746,14846,14671,14040,14175,14071,14334,14379,14434,14365,14253,14318,14200,14232,14284,14283,14025,586,504,558,453,423,452,454,513,534,567,421,462,563,646,4,3.4,3.8,3.1,2.9,3,3.1,3.5,3.6,3.8,2.9,3.1,3.8,4.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.5074907891888,0.233445031246896
28,00161553,01055,1385871922,35067763,Etowah County,Alabama,01055,42565,42803,42809,42804,42785,42766,42423,42344,42549,42958,42724,42464,43087,42937,40681,41123,41025,41591,41622,41481,41196,40926,41065,41363,41553,41220,41434,41153,1884,1680,1784,1213,1163,1285,1227,1418,1484,1595,1171,1244,1653,1784,4.4,3.9,4.2,2.8,2.7,3,2.9,3.3,3.5,3.7,2.7,2.9,3.8,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.0861076934334,0.138734359662649
29,00161554,01057,1625693288,4330881,Fayette County,Alabama,01057,6452,6539,6517,6551,6570,6582,6619,6553,6542,6626,6575,6568,6588,6606,6241,6349,6290,6378,6402,6409,6435,6345,6323,6392,6403,6387,6356,6354,211,190,227,173,168,173,184,208,219,234,172,181,232,252,3.3,2.9,3.5,2.6,2.6,2.6,2.8,3.2,3.3,3.5,2.6,2.8,3.5,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.8377013068784,0.158556317226658
30,00161555,01059,1641841404,32643981,Franklin County,Alabama,01059,14467,14744,14531,14712,14752,14776,14759,14749,14743,14746,14645,14628,14646,14651,14021,14226,14077,14364,14423,14428,14413,14359,14328,14306,14315,14280,14173,14124,446,518,454,348,329,348,346,390,415,440,330,348,473,527,3.1,3.5,3.1,2.4,2.2,2.4,2.3,2.6,2.8,3,2.3,2.4,3.2,3.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.78018139703354,0.164247033363858
31,00161556,01061,1487897665,11578163,Geneva County,Alabama,01061,10786,11021,10869,10983,10979,11095,11203,11041,11266,11096,10930,10991,11080,11038,10443,10726,10522,10716,10722,10823,10939,10724,10967,10756,10668,10702,10705,10623,343,295,347,267,257,272,264,317,299,340,262,289,375,415,3.2,2.7,3.2,2.4,2.3,2.5,2.4,2.9,2.7,3.1,2.4,2.6,3.4,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.8338071200048,0.141752337095077
32,00161557,01063,1675782059,33416141,Greene County,Alabama,01063,2844,2870,2848,2864,2866,2880,2886,2886,2929,2913,2885,2893,2854,2880,2669,2711,2681,2727,2735,2740,2744,2714,2724,2726,2743,2747,2699,2697,175,159,167,137,131,140,142,172,205,187,142,146,155,183,6.2,5.5,5.9,4.8,4.6,4.9,4.9,6,7,6.4,4.9,5,5.4,6.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,3.55719089007304,0.164643097395329
33,00161558,01065,1667917734,32412739,Hale County,Alabama,01065,6060,6225,6055,6111,6141,6234,6312,6097,6186,6081,5972,6112,6091,6140,5773,5977,5792,5907,5953,6020,6097,5859,5902,5793,5777,5904,5838,5853,287,248,263,204,188,214,215,238,284,288,195,208,253,287,4.7,4,4.3,3.3,3.1,3.4,3.4,3.9,4.6,4.7,3.3,3.4,4.2,4.7,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.47891596313596,0.163625403805809
34,00161559,01067,1454926622,16986823,Henry County,Alabama,01067,6807,6896,6878,6915,6915,6952,6957,6933,7047,6989,6907,6907,6982,6964,6547,6674,6619,6717,6719,6748,6753,6690,6796,6722,6698,6683,6688,6632,260,222,259,198,196,204,204,243,251,267,209,224,294,332,3.8,3.2,3.8,2.9,2.8,2.9,2.9,3.5,3.6,3.8,3,3.2,4.2,4.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.63970265990764,0.139755976559983
35,00161560,01069,1501819549,4718092,Houston County,Alabama,01069,45446,45901,46058,46329,46336,46326,46108,46080,46538,46396,45999,45955,46447,46352,43949,44619,44592,45167,45207,45190,44951,44705,45113,44857,44834,44735,44834,44559,1497,1282,1466,1162,1129,1136,1157,1375,1425,1539,1165,1220,1613,1793,3.3,2.8,3.2,2.5,2.4,2.5,2.5,3,3.1,3.3,2.5,2.7,3.5,3.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.10219232193065,0.142505649516127
36,00161561,01071,2791974032,126334709,Jackson County,Alabama,01071,22918,23191,23006,23229,23221,23308,23340,23340,23515,23717,23583,23625,23817,23668,22068,22421,22148,22548,22583,22649,22692,22602,22708,22892,22952,22936,22892,22719,850,770,858,681,638,659,648,738,807,825,631,689,925,949,3.7,3.3,3.7,2.9,2.7,2.8,2.8,3.2,3.4,3.5,2.7,2.9,3.9,4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.67787993595777,0.287397343770681
37,00161562,01073,2878552100,32849845,Jefferson County,Alabama,01073,312923,316161,317192,321910,320792,320306,316826,318116,319233,318920,316624,317025,318826,319084,303027,307682,307572,314357,313419,312557,308951,308988,309785,308975,309094,309107,308404,307501,9896,8479,9620,7553,7373,7749,7875,9128,9448,9945,7530,7918,10422,11583,3.2,2.7,3,2.3,2.3,2.4,2.5,2.9,3,3.1,2.4,2.5,3.3,3.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.9037411806511,0.28266135900451
38,00161563,01075,1566544637,1600679,Lamar County,Alabama,01075,5741,5844,5796,5846,5842,5880,5887,5852,5903,5886,5826,5813,5827,5839,5547,5662,5603,5691,5697,5729,5736,5679,5715,5667,5683,5651,5623,5620,194,182,193,155,145,151,151,173,188,219,143,162,204,219,3.4,3.1,3.3,2.7,2.5,2.6,2.6,3,3.2,3.7,2.5,2.8,3.5,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.64062414369854,0.152638826648773
39,00161564,01077,1730146078,133608951,Lauderdale County,Alabama,01077,41758,42242,41767,42304,42668,42816,42590,42460,42651,42522,42572,42602,42587,42419,40329,40967,40315,41101,41570,41644,41381,41082,41149,40930,41400,41433,41081,40693,1429,1275,1452,1203,1098,1172,1209,1378,1502,1592,1172,1169,1506,1726,3.4,3,3.5,2.8,2.6,2.7,2.8,3.2,3.5,3.7,2.8,2.7,3.5,4.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.42066573725681,0.183810943762773
40,00161565,01079,1788864251,68682382,Lawrence County,Alabama,01079,14042,14254,14238,14317,14359,14362,14333,14266,14376,14365,14224,14262,14326,14295,13580,13841,13762,13940,13998,13993,13967,13829,13910,13872,13858,13872,13819,13715,462,413,476,377,361,369,366,437,466,493,366,390,507,580,3.3,2.9,3.3,2.6,2.5,2.6,2.6,3.1,3.2,3.4,2.6,2.7,3.5,4.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.92994846674915,0.182375064873489
41,00161566,01081,1573514768,21526461,Lee County,Alabama,01081,75892,77018,76569,77615,78204,77850,76841,76167,76138,75926,75563,76111,76430,76301,73587,75143,74372,75898,76498,76103,75093,74144,74009,73599,73850,74342,73908,73667,2305,1875,2197,1717,1706,1747,1748,2023,2129,2327,1713,1769,2522,2634,3,2.4,2.9,2.2,2.2,2.2,2.3,2.7,2.8,3.1,2.3,2.3,3.3,3.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.05272409114167,0.153220856814303
42,00161567,01083,1450277886,122329712,Limestone County,Alabama,01083,43393,44106,43891,43962,44197,44215,43818,43708,43911,43831,43647,43741,43933,43835,42146,43047,42673,43003,43261,43253,42867,42618,42724,42545,42690,42718,42577,42332,1247,1059,1218,959,936,962,951,1090,1187,1286,957,1023,1356,1503,2.9,2.4,2.8,2.2,2.1,2.2,2.2,2.5,2.7,2.9,2.2,2.3,3.1,3.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.69340378482479,0.154928093403729
