Categories,Created,Description,Experience ID,Participant ID,Sources,Tag,Workshop,0,Categories-Access,Categories-Career,Categories-Compensation,Categories-Interactions,Categories-Learning,Categories-Life,Categories-Recognition,Categories-Respect,Categories-Skills,Sources-Customers,Sources-HR,Sources-Leadership,Sources-Manager,Sources-Peers,Sources-Policy,Sources-Reports
"access,respect,interactions",5/21/2020 12:18,I am often asked to substantiate or prove statements where other male peers are not required to do the same,14,22,"manager,leadership",,7,,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
respect,5/21/2020 12:18,i have felt excluded as a woman where I was the only woman and some derogatory comments were made about women. everyone laughed and I was embarrassed. this took place years ago and not at *company*,15,16,leadership,,7,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"career,respect",5/21/2020 12:19,Long-term employees are viewed as knowledgeable about the industry. My ideas are often not heard in a meeting when a white male gives the same suggestion everyone listens.,16,20,"leadership,hr",,7,,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"career,recognition,respect,interactions",5/21/2020 12:19,I have often experienced a much higher and almost insidious 'burden of proof' than my male peers- I often feel this is a communication challenge. I feel that the environment is not tolerant at all to learning different communication styles - if I can't 'manage up' I fail.  I see that for others (male) there is more forgiveness on this.,17,14,"manager,leadership,peers",,7,,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0
career,5/21/2020 12:19,"I have seen some colleagues who are seen as ""do-ers"" be passed over for promotions and not prepared for development and advancement.",18,18,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"career,interactions",5/21/2020 12:19,I tend to feel like I am not able to advance objectives or obtain desired performance or support when I must collaborate with aggressive/unpleasant colleagues or superiors; I have feel like I have not advanced as far as I could have if I were a more aggressive personality,19,8,"manager,leadership,peers",,7,,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
access,5/21/2020 12:20,sometimes when in a meeting and references are made to sports I feel excluded because I don't follow any sports,20,16,peers,,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"access,interactions",5/21/2020 12:20,"Prior to joining *company*, clients of my former employer were not always as open to including a professional of my then-age and gender in work-related social events or other opportunities, even though my own employer was very eager to be inclusive.",21,13,customers,,7,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"access,respect,interactions",5/21/2020 12:20,I often have to speak up and compete for attention from managers with other male peers whose voice is stronger,22,22,"manager,leadership,peers",,7,,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
"respect,interactions",5/21/2020 12:20,"I had been leading a key project for 2 years and had a junior white male come work for me.  After he joined my team, at both internal and external meetings, people in the room automatically spoke to him about the project and its status.  I had to have a direct conversation with my supervisor to ask that this unconscious bias be addressed and stopped.",23,24,"manager,leadership,peers",,7,,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
"compensation,recognition,respect,interactions",5/21/2020 12:21,"My 'negatives', which are often referred to as 'emotional', 'less tactful', and 'combative' are brought up much more frequently than my contributions in performance and promotion discussions.  I see that the 'negatives' of my male counterparts seem to be more tolerable to my leadership.",24,14,"manager,leadership,peers",,7,,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0
interactions,5/21/2020 12:21,"Had suggestion and was ignored when a male counterpart made similar suggestion, it was recognized.",25,28,leadership,,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
skills,5/21/2020 12:21,"Assignments are not always distributed equitably, and those with applicable talents, skills or knowledge are not always given an opportunity to contribute.",26,18,leadership,,7,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"access,skills,learning,recognition,respect,interactions",5/21/2020 12:21,I have been offered learning opportunities after other have completed them or passed on them,27,22,"manager,leadership",,7,,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0
"access,career",5/21/2020 12:21,Often excluded overlooked from important conversations regarding strategic decisions. Management has difficulty assessing talent outside of a person's current role.,28,20,"leadership,hr",,7,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
interactions,5/21/2020 12:21,"There is a senior manager, not mine, that favors extensively another manager in his/her group.  It is something that at times is very noticeable.",29,17,peers,,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
career,5/21/2020 12:22,"In my experience, *company* is great with inclusion regarding gender and race.  However, I have faced barriers as a result of where I am located geographically.  I have not been considered for promotional opportunities due to my location.",30,19,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
skills,5/21/2020 12:22,"Early in my career, I've felt excluded based on a current role/title... it was as if you specialized in one area, all of your previous experience is discounted or not considered when problem solving",31,9,leadership,,7,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"access,respect",5/21/2020 12:22,Being treated differently and feeling dismissed by external stakeholders when younger.,32,30,customers,,7,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
compensation,5/21/2020 12:22,"I believe I have not paid in both base and IC as well as my male colleagues.  In fact my prior boss at one point said, ""You have a husband that is the primary income earner so it is okay to pay them more.""",33,24,"manager,policy,hr",,7,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
"access,interactions",5/21/2020 12:23,"We have a 'command and control' culture where we intentionally exclude certain people in projects, decision-making and even in awareness.  I was often 'dinged' for bringing in the 'wrong people' to discussions earlier in my time here- inclusiveness is encouraged on the surface, but it can't include those participants that do not meet the leadership's criteria",34,14,"manager,leadership,peers",,7,,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"compensation,career,recognition,respect",5/21/2020 12:23,I have a sense that male peers are compensated on a higher tier for the same job although their performance may be inferior,35,22,"manager,leadership,policy,hr",,7,,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
interactions,5/21/2020 12:23,"People assume all sorts of reasons why I may interrupt others, speak over others or seem like I am not engaged in meetings. I also hear people say I was talking to you and you ignored me. What they don't know, or remember for those who do know, is that I have lost hearing in one ear. With Zoom there are new challenges - where I can often see the light up square of who is speaking I can't as easily read lips or get cues right on when to speak. Wearing masks is now an even greater challenge to those of us that read lips! Talking about it is hard, and for those I have talked to I don't want to keep reminding them. I get judged for this, and have been told so, but it's hard to address. When I do share - I am amazed how many others also have this challenge! We don't talk enough about hearing challenges.",36,12,"manager,leadership,peers,reports",,7,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
interactions,5/21/2020 12:23,Excluded from critical business meetings due to gender.,37,28,manager,,7,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"respect,interactions",5/21/2020 12:24,"I had been leading a key project for 2 years and had a junior white male come work for me. After he joined my team, at both internal and external meetings, people in the room automatically spoke to him about the project and its status. I had to have a direct conversation with my supervisor to ask that this unconscious bias be addressed and stopped.",38,24,"manager,leadership,peers",,7,,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
"learning,career",5/21/2020 12:24,Often overlooked or not included in strategic communications.  Leadership can often not see people outside of their current role.,39,20,"leadership,hr",,7,,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"respect,interactions",5/21/2020 12:24,I was in a meeting with a group of co-workers and at some point everyone besides me started laughing and looking at their phones as if they were all texting each other at the same time based off of what I was talking about.,40,21,peers,,7,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"access,respect,interactions",5/21/2020 12:25,Counsel for broker-dealers are not always as inclusive as *company* is with respect to females or younger professionals.,41,13,peers,,7,,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
respect,5/21/2020 12:25,Gave a presentation to a group on issues occurring at a firm. The group was predominantly male and when the opportunity for feedback and questions came around. The feedback received was more comical and dismissed.,42,25,peers,,7,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
respect,5/21/2020 12:26,ideas are ignored until the are echoed from a male.,43,20,"hr,peers",,7,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"access,skills",5/21/2020 12:27,"I was asked to be a part of a diversity project where I notice I was the only woman of color on the team. My perspectives, ideas and thoughts weren't heard and it seemed more so I was only chosen for one reason.",44,21,"leadership,peers",,7,,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
respect,5/21/2020 12:28,"For certain department activities with staff, being told that I am a den mother in the department presumably because I'm a female.",45,17,manager,,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
respect,5/21/2020 12:29,Was the more senior person at a member firm meeting but firm treated subordinate as more senior since he was a male.,46,28,customers,,7,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"skills,career",5/21/2020 12:32,Often excluded or overlooked from important conversations regarding strategic decisions. Management has difficulty assessing talent outside of a person's current role.,47,20,"leadership,hr",,7,,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
respect,5/21/2020 12:33,Ideas are ignored until the are echoed by a male.,48,20,peers,,7,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
career,5/21/2020 12:34,Skills are often seen as non-transferrable.,49,20,"leadership,hr",,7,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
access,5/21/2020 12:35,"Certain groups who are not high-profile from an external perspective are over-looked for training, committees, etc.",50,20,"policy,hr",,7,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"skills,compensation,career,recognition",6/10/2020 14:43,,58,48,leadership,,7,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"access,skills,recognition",6/10/2020 14:44,,59,55,"leadership,peers",,7,,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
interactions,6/10/2020 14:45,Not having opportunity to speak until toward the end of a meeting,60,68,peers,,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"compensation,career",6/10/2020 14:45,I am overlooked for promotional opportunities and growth/advancement.,61,48,leadership,,7,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"skills,learning,respect",6/10/2020 14:45,I was given very little to do and staff seemed surprised when I asked for more.,62,74,"manager,peers",,7,,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
career,6/10/2020 14:45,,63,70,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"recognition,respect",6/10/2020 14:45,"I am often talked over, in meetings.",64,109,"leadership,peers",,7,,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
access,6/10/2020 14:45,,65,55,leadership,,7,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"access,skills,learning,life,recognition,respect,interactions",6/10/2020 14:45,,66,80,"manager,policy,hr",,7,,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0
"respect,interactions",6/10/2020 14:45,"Ideas were discounted during meetings, felt like it was because of my perceived age and being female.",67,43,"leadership,peers",,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"skills,learning,compensation,career,respect",6/10/2020 14:45,"I have at times felt I was treated different, because I look young.",68,81,"manager,peers",,7,,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0
"access,skills,learning,compensation,career,life,recognition,respect,interactions",6/10/2020 14:45,,69,76,"manager,leadership,policy,hr,peers,reports",,7,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
skills,6/10/2020 14:45,"The extremely hierarchical, ""vertical"" structure has occasionally made me feel excluded.",70,58,leadership,,7,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
other,6/10/2020 14:45,"When Christmas decorations (poinsettias, wreaths, etc) go up all over the office.",71,119,leadership,,7,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"learning,career,respect",6/10/2020 14:45,I'm sometimes ignored or spoken over in meetings.,73,104,"manager,leadership",,7,,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
interactions,6/10/2020 14:45,I have been talked down to in senior leadership meetings despite being very knowledgeable about the topic being discussed.,74,61,leadership,,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
other,6/10/2020 14:45,,75,45,peers,,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"access,skills,learning,compensation,career,interactions",6/10/2020 14:46,I am often not included in projects.,76,109,"manager,leadership",,7,,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
"access,compensation,career,interactions",6/10/2020 14:46,"I am in a specialty team within *company* in which the leadership has been, since inception, overwhelmingly white and male.",77,59,"leadership,peers",,7,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"career,life",6/10/2020 14:46,,78,83,leadership,,7,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
access,6/10/2020 14:46,"I have been treated as an equal, and looked to for my input.",79,52,peers,,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"career,interactions",6/10/2020 14:46,"Perception that there is no space for upward growth due to senior leadership being exclusively white. 

Leaders often confuse you with other people who have the same skin color.",83,82,leadership,,7,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
access,6/10/2020 14:46,I was excluded from meetings after being told what a great job I did by my previous manager. My awards were hidden and not mentioned to my department.,84,60,"manager,leadership",,7,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"access,skills,respect,interactions",6/10/2020 14:46,Interrupted or talked over in meetings.,85,131,"manager,peers",,7,,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
career,6/10/2020 14:46,"I have in general great experience working at *company*. The management team is very open to diversity and inclusion.

However, I do see that all the senior leadership in my group is while male and we recently hired a white female to a leadership role.

This is actually good news but I would like to see some minorities get promoted to higher ranks.",87,51,leadership,Positive experience,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"recognition,respect,interactions",6/10/2020 14:46,I had an idea for improving a process which was ignored. The same idea was picked up and utilized when suggested by someone else.,88,105,manager,,7,,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
skills,6/10/2020 14:46,Getting assignments that are typically assigned female,89,68,manager,,7,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"skills,recognition,respect",6/10/2020 14:46,My manager excluded me from the beginning phase of a project that is one of my 2020 job goals for reasons she did not make clear to me.,93,139,manager,,7,,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"respect,interactions",6/10/2020 14:46,"I have been described as ""aggressive."" (I do not think a man would have received this feedback under the circumstances)",95,95,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"access,skills,career,respect",6/10/2020 14:46,"The same group of individuals are typically picked for high profile projects and assignments. Valuable Skills and promotional opportunities are therefore not developed in other employees, perpetuating the problem.",96,79,"manager,leadership,peers",,7,,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
access,6/10/2020 14:47,Not being included in meetings but responsible for the work product.,97,121,"manager,leadership",,7,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"skills,respect",6/10/2020 14:47,"For much of my time in my department, my group seemed to receive case assignments that were far less technical than what other groups were receiving.",98,119,leadership,,7,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"compensation,recognition,respect",6/10/2020 14:47,"My annual review was very positive, but not reflected in compensation or recognition",99,84,"policy,hr",,7,,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"access,skills,learning,compensation,career,recognition,respect,interactions",6/10/2020 14:47,My experiences of exclusion have occurred not because of personal characteristics but because my job/department was not valued by senior management and other departments.,100,114,"manager,leadership,reports",,7,,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1
respect,6/10/2020 14:47,Being interrupted in meetings,101,120,manager,,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"respect,interactions",6/10/2020 14:47,I had a co-worker tell me that I preferred a vendor proposal because it was pretty.,102,85,leadership,,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"access,learning,interactions",6/10/2020 14:47,"When I first started, I was excluded from conversations that I felt I could have added value because of my age/experience. It became a bit of a ""vicious cycle"" in that I wasn't included due to what was perceived as a lack of experience and couldn't gain experience due to the lack of inclusion.",104,99,"manager,leadership,peers",,7,,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0
"compensation,respect",6/10/2020 14:47,Unequal recognition of accomplishments.,105,97,leadership,,7,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
access,6/10/2020 14:47,"""Bullied"" by male colleagues.",106,167,peers,,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"skills,career",6/10/2020 14:47,"I was not asked to participate in a project which required travel as I had young children and it was ""assumed"" I wouldn't want to travel.",107,146,"manager,leadership,peers",,7,,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
career,6/10/2020 14:47,Lack of Black or African American managers,108,133,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
interactions,6/10/2020 14:47,Leaders and others often confuse you with other people who have the same skin color.,110,82,"leadership,peers",,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
compensation,6/10/2020 14:47,"The firm does not give pro-rated bonuses to employees hired in the 4th quarter. However, the company does provide pro-rated bonuses to employees hired in quarters 1-3. Unfair.",111,40,policy,,7,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"skills,compensation,career,recognition",6/10/2020 14:47,"I am selected due to my experience for training and questions, but not recognized with promotional opportunities.",112,149,"manager,leadership",,7,,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
"compensation,career,respect",6/10/2020 14:47,"As a female, I feel like I'm being held to a higher standard for promotion than my male colleagues",115,88,"leadership,peers",,7,,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
"access,recognition,respect",6/10/2020 14:47,Being micro managed by manager.,116,147,manager,,7,,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"respect,interactions",6/10/2020 14:47,"I was treated in a disrespectful, rude manner by a colleague and no action was taken to remedy it.",117,105,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
career,6/10/2020 14:47,Perception that there is no space for upward growth due to senior leadership being exclusively white.,118,82,"leadership,policy",,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"access,career,recognition,respect,interactions",6/10/2020 14:47,"I feel invisible, marginalized, and disrespected. I have been excluded from emails and communications. I have been talked over and my ideas, suggestions and observations dismissed without being considered.",119,75,"manager,leadership",,7,,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
"access,recognition,respect",6/10/2020 14:47,"When my group moved from one department to another, I felt as though I was demoted because my decision-making authority was reduced.",121,92,"manager,leadership",,7,,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
interactions,6/10/2020 14:47,Not being asked to go to a group lunch,122,142,leadership,,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"recognition,respect",6/10/2020 14:47,"My manager uses comments like ""we want fresh and innovative perspectives"" often when I share my perspective.",123,139,manager,,7,,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"compensation,life",6/10/2020 14:47,Pay effected negatively due to maternity leave. Annual percentage raise decreased...effectively compounding the disadvantage for the rest of my career.,124,131,"leadership,policy,hr",,7,,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
life,6/10/2020 14:48,During the COVID-19 pandemic it was extremely difficult for me to keep up my productivity while having my child at home.,126,137,"policy,peers",,7,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"access,career",6/10/2020 14:48,"This is less prominent than in the past, but there are barriers to career advancement for people in the District offices compared to the New York and Maryland offices",127,152,leadership,,7,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
recognition,6/10/2020 14:48,"I have heard anecdotes of women's input being ignored in the meetings and the entire team acknowledges an idea presented by a male, even if it is the same idea.",129,51,"manager,peers",,7,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"access,interactions",6/10/2020 14:48,"In the past, I was not always included in certain meetings or phone calls that I thought I should have been included in.",130,130,peers,,7,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"access,skills,learning,compensation,career,recognition,respect",6/10/2020 14:50,"There is very little of no opportunity for promotion in my current role. On a regular basis I a responsible for performing multiple task beyond the scope of my job but am not compensated for it.  It is an exclusion issue in that persons in roles such as mine are doing a job that we are not recognized and compensated for. No promotion is available, so we have hit a ceiling.  There is little to no opportunity to transfer to other roles.  We see our co-workers promoted for their performance, but there is no promotion for staff such as me.",223,111,"policy,hr",,7,,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0
"access,career,respect",6/10/2020 14:48,I have found that women and minorities have to do substantially more in order to compete and obtain the same respect and opportunities as males and non-minorities.,133,129,"leadership,hr",,7,,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"access,learning,compensation,career,life,recognition,respect,interactions",6/10/2020 14:48,I am excluded.,134,64,"manager,leadership,hr",,7,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
"access,career,recognition,respect",6/10/2020 14:48,I often feel favortism is shown in the department to younger white staff members.,135,109,leadership,,7,,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"access,career,recognition",6/10/2020 14:48,"Excluded from leadership meetings. There's inconsistency of who's invited to this meeting. Others at my same level are included but me and others are not. These are the opportunities to consistently meet and have ""face time"" with senior leaders in the dept.",137,136,leadership,,7,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"access,interactions",6/10/2020 14:48,"I used to be part of a team where the male manager regularly went to lunch with only the men on the team. The two women on the team (myself included) were never invited, This is still the culture in this specific office location.",138,67,manager,,7,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
life,6/10/2020 14:48,Struggles with coping to work from home due to myself being a working parent and having a co-parent and child with high needs / mental health needs,140,123,"manager,leadership,hr,peers",,7,,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
career,6/10/2020 14:48,I feel I've been overlooked for qualified opportunities.,141,52,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
compensation,6/10/2020 14:48,"Denied opportunity for promotion in the past, while male colleagues similarly situated were given more opportunities.",142,167,"manager,leadership,hr",,7,,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
"career,recognition,interactions",6/10/2020 14:48,My ideas and contributions are not recognized or acknowledged,144,103,"manager,leadership",,7,,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
access,6/10/2020 14:48,I have not been nominated to serve on important committees while my female colleagues have.,145,155,"manager,leadership",,7,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"access,learning,interactions",6/10/2020 14:48,"In Toastmasters there was one higher up that would always dismiss my ideas, and I felt it was similar with other women's ideas.",146,93,leadership,,7,,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"learning,compensation,recognition,respect",6/10/2020 14:48,Unable to get further ahead in my career path and there has been no indication of why,147,119,manager,,7,,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
"recognition,respect,interactions",6/10/2020 14:48,I sometime feel that my contributions are not sufficiently recognized.,148,149,"manager,leadership,peers",,7,,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
interactions,6/10/2020 14:48,"I feel included.  Sometimes I am one of few women in meetings, but I haven't felt treated differently.",149,49,"manager,leadership,peers",Positive experience,7,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
recognition,6/10/2020 14:48,Being ignored or overlooked to provide input during meetings by male colleagues and leaders,150,120,leadership,,7,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"skills,learning,career,recognition,respect,interactions",6/10/2020 14:48,"At one point I was the only woman on a team of 9.  Many opportunities were assigned to my male colleagues before more mundane assignments were assigned to me, even though my previous work experiences would have suggested otherwise.  I felt I was not provided opportunities because I was female.",152,86,"manager,leadership,peers",,7,,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0
"respect,interactions",6/10/2020 14:48,"In a litigation team of four (two men and two women), the other woman and I were constantly talked over and talked down to by the male members of the team.  The other woman has left the company.",153,69,leadership,,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"respect,other",6/10/2020 14:48,"There were times during meetings with lunch offered when I felt like I had to bring my own lunch, because no one thought to order something vegetarian/vegan.",154,81,peers,,7,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"access,skills,respect",6/10/2020 14:48,"My immediate supervisor is a white male. He is on the DLC and considers himself woke. However, one day, I asked for assistance with an inquiry that I was unfamiliar with and he mocked me and said you have two advanced degrees --- more than I have (he does not have an advanced degree) and you should be able to figure it out. I had not had the opportunity to be exposed to those other business areas so I was unfamiliar with the subject matter. Other members of my team who are YOUNG and WHITE appear to have more opportunities and access to projects that give them exposure to other areas of *company* business operations. In other conversations,",155,138,manager,,7,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"skills,learning",6/10/2020 14:48,Offers to contribute are ignored and dismissed. My skills are under-utilized.,156,75,"manager,leadership",,7,,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"career,recognition,respect",6/10/2020 14:48,Not considered as valuable because my college degree was not in the same field as 'typical' for the job.,157,158,"leadership,peers",,7,,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
learning,6/10/2020 14:48,Offered development opportunities and achieve goals but there is limited promotion opportunities,158,121,leadership,,7,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"recognition,respect,interactions",6/10/2020 14:48,My manager doesn't share information with team members so my coworkers and I have to compare notes in order to get the complete information set we need to do our work.,159,139,manager,,7,,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"compensation,career",6/10/2020 14:48,It is very difficult to get promoted when you are not part of the buddy buddy system at *company*.,160,60,leadership,,7,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
