Workshop,Experience ID,Participant ID,Created,Categories,Sources,Description,Tag,,,,,,,,,,,,,,,,,,
007,25,28,5/21/2020 12:21,interactions,leadership,"Had suggestion and was ignored when a male counterpart made similar suggestion, it was recognized.",,,,,,,,,,,,,,,,,,,
007,26,18,5/21/2020 12:21,skills,leadership,"Assignments are not always distributed equitably, and those with applicable talents, skills or knowledge are not always given an opportunity to contribute.",,,,,,,,,,,,,,,,,,,
007,27,22,5/21/2020 12:21,"access,skills,learning,recognition,respect,interactions","manager,leadership",I have been offered learning opportunities after other have completed them or passed on them,,,,,,,,,,,,,,,,,,,
007,28,20,5/21/2020 12:21,"access,career","leadership,hr",Often excluded overlooked from important conversations regarding strategic decisions. Management has difficulty assessing talent outside of a person's current role.,,,,,,,,,,,,,,,,,,,
007,29,17,5/21/2020 12:21,interactions,peers,"There is a senior manager, not mine, that favors extensively another manager in his/her group.  It is something that at times is very noticeable.",,,,,,,,,,,,,,,,,,,
007,30,19,5/21/2020 12:22,career,leadership,"In my experience, *company* is great with inclusion regarding gender and race.  However, I have faced barriers as a result of where I am located geographically.  I have not been considered for promotional opportunities due to my location.",,,,,,,,,,,,,,,,,,,
007,31,9,5/21/2020 12:22,skills,leadership,"Early in my career, I've felt excluded based on a current role/title... it was as if you specialized in one area, all of your previous experience is discounted or not considered when problem solving",,,,,,,,,,,,,,,,,,,
007,32,30,5/21/2020 12:22,"access,respect",customers,Being treated differently and feeling dismissed by external stakeholders when younger.,,,,,,,,,,,,,,,,,,,
007,33,24,5/21/2020 12:22,compensation,"manager,policy,hr","I believe I have not paid in both base and IC as well as my male colleagues.  In fact my prior boss at one point said, ""You have a husband that is the primary income earner so it is okay to pay them more.""",,,,,,,,,,,,,,,,,,,
007,34,14,5/21/2020 12:23,"access,interactions","manager,leadership,peers","We have a 'command and control' culture where we intentionally exclude certain people in projects, decision-making and even in awareness.  I was often 'dinged' for bringing in the 'wrong people' to discussions earlier in my time here- inclusiveness is encouraged on the surface, but it can't include those participants that do not meet the leadership's criteria",,,,,,,,,,,,,,,,,,,
007,35,22,5/21/2020 12:23,"compensation,career,recognition,respect","manager,leadership,policy,hr",I have a sense that male peers are compensated on a higher tier for the same job although their performance may be inferior,,,,,,,,,,,,,,,,,,,
007,36,12,5/21/2020 12:23,interactions,"manager,leadership,peers,reports","People assume all sorts of reasons why I may interrupt others, speak over others or seem like I am not engaged in meetings. I also hear people say I was talking to you and you ignored me. What they don't know, or remember for those who do know, is that I have lost hearing in one ear. With Zoom there are new challenges - where I can often see the light up square of who is speaking I can't as easily read lips or get cues right on when to speak. Wearing masks is now an even greater challenge to those of us that read lips! Talking about it is hard, and for those I have talked to I don't want to keep reminding them. I get judged for this, and have been told so, but it's hard to address. When I do share - I am amazed how many others also have this challenge! We don't talk enough about hearing challenges.",,,,,,,,,,,,,,,,,,,
007,37,28,5/21/2020 12:23,interactions,manager,Excluded from critical business meetings due to gender.,,,,,,,,,,,,,,,,,,,
007,38,24,5/21/2020 12:24,"respect,interactions","manager,leadership,peers","I had been leading a key project for 2 years and had a junior white male come work for me. After he joined my team, at both internal and external meetings, people in the room automatically spoke to him about the project and its status. I had to have a direct conversation with my supervisor to ask that this unconscious bias be addressed and stopped.",,,,,,,,,,,,,,,,,,,
007,39,20,5/21/2020 12:24,"learning,career","leadership,hr",Often overlooked or not included in strategic communications.  Leadership can often not see people outside of their current role.,,,,,,,,,,,,,,,,,,,
007,40,21,5/21/2020 12:24,"respect,interactions",peers,I was in a meeting with a group of co-workers and at some point everyone besides me started laughing and looking at their phones as if they were all texting each other at the same time based off of what I was talking about.,,,,,,,,,,,,,,,,,,,
007,41,13,5/21/2020 12:25,"access,respect,interactions",peers,Counsel for broker-dealers are not always as inclusive as *company* is with respect to females or younger professionals.,,,,,,,,,,,,,,,,,,,
007,42,25,5/21/2020 12:25,respect,peers,Gave a presentation to a group on issues occurring at a firm. The group was predominantly male and when the opportunity for feedback and questions came around. The feedback received was more comical and dismissed.,,,,,,,,,,,,,,,,,,,
007,43,20,5/21/2020 12:26,respect,"hr,peers",ideas are ignored until the are echoed from a male.,,,,,,,,,,,,,,,,,,,
007,44,21,5/21/2020 12:27,"access,skills","leadership,peers","I was asked to be a part of a diversity project where I notice I was the only woman of color on the team. My perspectives, ideas and thoughts weren't heard and it seemed more so I was only chosen for one reason.",,,,,,,,,,,,,,,,,,,
007,45,17,5/21/2020 12:28,respect,manager,"For certain department activities with staff, being told that I am a den mother in the department presumably because I'm a female.",,,,,,,,,,,,,,,,,,,
007,46,28,5/21/2020 12:29,respect,customers,Was the more senior person at a member firm meeting but firm treated subordinate as more senior since he was a male.,,,,,,,,,,,,,,,,,,,
007,47,20,5/21/2020 12:32,"skills,career","leadership,hr",Often excluded or overlooked from important conversations regarding strategic decisions. Management has difficulty assessing talent outside of a person's current role.,,,,,,,,,,,,,,,,,,,
007,48,20,5/21/2020 12:33,respect,peers,Ideas are ignored until the are echoed by a male.,,,,,,,,,,,,,,,,,,,
007,49,20,5/21/2020 12:34,career,"leadership,hr",Skills are often seen as non-transferrable.,,,,,,,,,,,,,,,,,,,
007,50,20,5/21/2020 12:35,access,"policy,hr","Certain groups who are not high-profile from an external perspective are over-looked for training, committees, etc.",,,,,,,,,,,,,,,,,,,
007,58,48,6/10/2020 14:43,"skills,compensation,career,recognition",leadership,,,,,,,,,,,,,,,,,,,,
007,59,55,6/10/2020 14:44,"access,skills,recognition","leadership,peers",,,,,,,,,,,,,,,,,,,,
007,60,68,6/10/2020 14:45,interactions,peers,Not having opportunity to speak until toward the end of a meeting,,,,,,,,,,,,,,,,,,,
007,61,48,6/10/2020 14:45,"compensation,career",leadership,I am overlooked for promotional opportunities and growth/advancement.,,,,,,,,,,,,,,,,,,,
007,62,74,6/10/2020 14:45,"skills,learning,respect","manager,peers",I was given very little to do and staff seemed surprised when I asked for more.,,,,,,,,,,,,,,,,,,,
007,63,70,6/10/2020 14:45,career,leadership,,,,,,,,,,,,,,,,,,,,
007,64,109,6/10/2020 14:45,"recognition,respect","leadership,peers","I am often talked over, in meetings.",,,,,,,,,,,,,,,,,,,
007,65,55,6/10/2020 14:45,access,leadership,,,,,,,,,,,,,,,,,,,,
007,66,80,6/10/2020 14:45,"access,skills,learning,life,recognition,respect,interactions","manager,policy,hr",,,,,,,,,,,,,,,,,,,,
007,67,43,6/10/2020 14:45,"respect,interactions","leadership,peers","Ideas were discounted during meetings, felt like it was because of my perceived age and being female.",,,,,,,,,,,,,,,,,,,
007,68,81,6/10/2020 14:45,"skills,learning,compensation,career,respect","manager,peers","I have at times felt I was treated different, because I look young.",,,,,,,,,,,,,,,,,,,
007,69,76,6/10/2020 14:45,"access,skills,learning,compensation,career,life,recognition,respect,interactions","manager,leadership,policy,hr,peers,reports",,,,,,,,,,,,,,,,,,,,
007,70,58,6/10/2020 14:45,skills,leadership,"The extremely hierarchical, ""vertical"" structure has occasionally made me feel excluded.",,,,,,,,,,,,,,,,,,,
007,71,119,6/10/2020 14:45,other,leadership,"When Christmas decorations (poinsettias, wreaths, etc) go up all over the office.",,,,,,,,,,,,,,,,,,,
007,73,104,6/10/2020 14:45,"learning,career,respect","manager,leadership",I'm sometimes ignored or spoken over in meetings.,,,,,,,,,,,,,,,,,,,
007,74,61,6/10/2020 14:45,interactions,leadership,I have been talked down to in senior leadership meetings despite being very knowledgeable about the topic being discussed.,,,,,,,,,,,,,,,,,,,
007,75,45,6/10/2020 14:45,other,peers,,,,,,,,,,,,,,,,,,,,
007,76,109,6/10/2020 14:46,"access,skills,learning,compensation,career,interactions","manager,leadership",I am often not included in projects.,,,,,,,,,,,,,,,,,,,
007,77,59,6/10/2020 14:46,"access,compensation,career,interactions","leadership,peers","I am in a specialty team within *company* in which the leadership has been, since inception, overwhelmingly white and male.",,,,,,,,,,,,,,,,,,,
007,78,83,6/10/2020 14:46,"career,life",leadership,,,,,,,,,,,,,,,,,,,,
007,79,52,6/10/2020 14:46,access,peers,"I have been treated as an equal, and looked to for my input.",,,,,,,,,,,,,,,,,,,
007,83,82,6/10/2020 14:46,"career,interactions",leadership,"Perception that there is no space for upward growth due to senior leadership being exclusively white. 

Leaders often confuse you with other people who have the same skin color.",,,,,,,,,,,,,,,,,,,
007,84,60,6/10/2020 14:46,access,"manager,leadership",I was excluded from meetings after being told what a great job I did by my previous manager. My awards were hidden and not mentioned to my department.,,,,,,,,,,,,,,,,,,,
007,85,131,6/10/2020 14:46,"access,skills,respect,interactions","manager,peers",Interrupted or talked over in meetings.,,,,,,,,,,,,,,,,,,,
007,87,51,6/10/2020 14:46,career,leadership,"I have in general great experience working at *company*. The management team is very open to diversity and inclusion.

However, I do see that all the senior leadership in my group is while male and we recently hired a white female to a leadership role.

This is actually good news but I would like to see some minorities get promoted to higher ranks.",Positive experience,,,,,,,,,,,,,,,,,,
007,88,105,6/10/2020 14:46,"recognition,respect,interactions",manager,I had an idea for improving a process which was ignored. The same idea was picked up and utilized when suggested by someone else.,,,,,,,,,,,,,,,,,,,
007,89,68,6/10/2020 14:46,skills,manager,Getting assignments that are typically assigned female,,,,,,,,,,,,,,,,,,,
007,93,139,6/10/2020 14:46,"skills,recognition,respect",manager,My manager excluded me from the beginning phase of a project that is one of my 2020 job goals for reasons she did not make clear to me.,,,,,,,,,,,,,,,,,,,
007,95,95,6/10/2020 14:46,"respect,interactions",manager,"I have been described as ""aggressive."" (I do not think a man would have received this feedback under the circumstances)",,,,,,,,,,,,,,,,,,,
007,96,79,6/10/2020 14:46,"access,skills,career,respect","manager,leadership,peers","The same group of individuals are typically picked for high profile projects and assignments. Valuable Skills and promotional opportunities are therefore not developed in other employees, perpetuating the problem.",,,,,,,,,,,,,,,,,,,
007,97,121,6/10/2020 14:47,access,"manager,leadership",Not being included in meetings but responsible for the work product.,,,,,,,,,,,,,,,,,,,
007,98,119,6/10/2020 14:47,"skills,respect",leadership,"For much of my time in my department, my group seemed to receive case assignments that were far less technical than what other groups were receiving.",,,,,,,,,,,,,,,,,,,
007,99,84,6/10/2020 14:47,"compensation,recognition,respect","policy,hr","My annual review was very positive, but not reflected in compensation or recognition",,,,,,,,,,,,,,,,,,,
007,100,114,6/10/2020 14:47,"access,skills,learning,compensation,career,recognition,respect,interactions","manager,leadership,reports",My experiences of exclusion have occurred not because of personal characteristics but because my job/department was not valued by senior management and other departments.,,,,,,,,,,,,,,,,,,,
007,101,120,6/10/2020 14:47,respect,manager,Being interrupted in meetings,,,,,,,,,,,,,,,,,,,
007,102,85,6/10/2020 14:47,"respect,interactions",leadership,I had a co-worker tell me that I preferred a vendor proposal because it was pretty.,,,,,,,,,,,,,,,,,,,
007,104,99,6/10/2020 14:47,"access,learning,interactions","manager,leadership,peers","When I first started, I was excluded from conversations that I felt I could have added value because of my age/experience. It became a bit of a ""vicious cycle"" in that I wasn't included due to what was perceived as a lack of experience and couldn't gain experience due to the lack of inclusion.",,,,,,,,,,,,,,,,,,,
007,105,97,6/10/2020 14:47,"compensation,respect",leadership,Unequal recognition of accomplishments.,,,,,,,,,,,,,,,,,,,
007,106,167,6/10/2020 14:47,access,peers,"""Bullied"" by male colleagues.",,,,,,,,,,,,,,,,,,,
007,107,146,6/10/2020 14:47,"skills,career","manager,leadership,peers","I was not asked to participate in a project which required travel as I had young children and it was ""assumed"" I wouldn't want to travel.",,,,,,,,,,,,,,,,,,,
007,108,133,6/10/2020 14:47,career,leadership,Lack of Black or African American managers,,,,,,,,,,,,,,,,,,,
007,110,82,6/10/2020 14:47,interactions,"leadership,peers",Leaders and others often confuse you with other people who have the same skin color.,,,,,,,,,,,,,,,,,,,
007,111,40,6/10/2020 14:47,compensation,policy,"The firm does not give pro-rated bonuses to employees hired in the 4th quarter. However, the company does provide pro-rated bonuses to employees hired in quarters 1-3. Unfair.",,,,,,,,,,,,,,,,,,,
007,112,149,6/10/2020 14:47,"skills,compensation,career,recognition","manager,leadership","I am selected due to my experience for training and questions, but not recognized with promotional opportunities.",,,,,,,,,,,,,,,,,,,
007,115,88,6/10/2020 14:47,"compensation,career,respect","leadership,peers","As a female, I feel like I'm being held to a higher standard for promotion than my male colleagues",,,,,,,,,,,,,,,,,,,
007,116,147,6/10/2020 14:47,"access,recognition,respect",manager,Being micro managed by manager.,,,,,,,,,,,,,,,,,,,
007,117,105,6/10/2020 14:47,"respect,interactions",manager,"I was treated in a disrespectful, rude manner by a colleague and no action was taken to remedy it.",,,,,,,,,,,,,,,,,,,
007,118,82,6/10/2020 14:47,career,"leadership,policy",Perception that there is no space for upward growth due to senior leadership being exclusively white.,,,,,,,,,,,,,,,,,,,
007,119,75,6/10/2020 14:47,"access,career,recognition,respect,interactions","manager,leadership","I feel invisible, marginalized, and disrespected. I have been excluded from emails and communications. I have been talked over and my ideas, suggestions and observations dismissed without being considered.",,,,,,,,,,,,,,,,,,,
007,121,92,6/10/2020 14:47,"access,recognition,respect","manager,leadership","When my group moved from one department to another, I felt as though I was demoted because my decision-making authority was reduced.",,,,,,,,,,,,,,,,,,,
007,122,142,6/10/2020 14:47,interactions,leadership,Not being asked to go to a group lunch,,,,,,,,,,,,,,,,,,,
007,123,139,6/10/2020 14:47,"recognition,respect",manager,"My manager uses comments like ""we want fresh and innovative perspectives"" often when I share my perspective.",,,,,,,,,,,,,,,,,,,
007,124,131,6/10/2020 14:47,"compensation,life","leadership,policy,hr",Pay effected negatively due to maternity leave. Annual percentage raise decreased...effectively compounding the disadvantage for the rest of my career.,,,,,,,,,,,,,,,,,,,
007,126,137,6/10/2020 14:48,life,"policy,peers",During the COVID-19 pandemic it was extremely difficult for me to keep up my productivity while having my child at home.,,,,,,,,,,,,,,,,,,,
007,127,152,6/10/2020 14:48,"access,career",leadership,"This is less prominent than in the past, but there are barriers to career advancement for people in the District offices compared to the New York and Maryland offices",,,,,,,,,,,,,,,,,,,
007,129,51,6/10/2020 14:48,recognition,"manager,peers","I have heard anecdotes of women's input being ignored in the meetings and the entire team acknowledges an idea presented by a male, even if it is the same idea.",,,,,,,,,,,,,,,,,,,
007,130,130,6/10/2020 14:48,"access,interactions",peers,"In the past, I was not always included in certain meetings or phone calls that I thought I should have been included in.",,,,,,,,,,,,,,,,,,,
007,223,111,6/10/2020 14:50,"access,skills,learning,compensation,career,recognition,respect","policy,hr","There is very little of no opportunity for promotion in my current role. On a regular basis I a responsible for performing multiple task beyond the scope of my job but am not compensated for it.  It is an exclusion issue in that persons in roles such as mine are doing a job that we are not recognized and compensated for. No promotion is available, so we have hit a ceiling.  There is little to no opportunity to transfer to other roles.  We see our co-workers promoted for their performance, but there is no promotion for staff such as me.",,,,,,,,,,,,,,,,,,,
007,133,129,6/10/2020 14:48,"access,career,respect","leadership,hr",I have found that women and minorities have to do substantially more in order to compete and obtain the same respect and opportunities as males and non-minorities.,,,,,,,,,,,,,,,,,,,
007,134,64,6/10/2020 14:48,"access,learning,compensation,career,life,recognition,respect,interactions","manager,leadership,hr",I am excluded.,,,,,,,,,,,,,,,,,,,
007,135,109,6/10/2020 14:48,"access,career,recognition,respect",leadership,I often feel favortism is shown in the department to younger white staff members.,,,,,,,,,,,,,,,,,,,
007,137,136,6/10/2020 14:48,"access,career,recognition",leadership,"Excluded from leadership meetings. There's inconsistency of who's invited to this meeting. Others at my same level are included but me and others are not. These are the opportunities to consistently meet and have ""face time"" with senior leaders in the dept.",,,,,,,,,,,,,,,,,,,
007,138,67,6/10/2020 14:48,"access,interactions",manager,"I used to be part of a team where the male manager regularly went to lunch with only the men on the team. The two women on the team (myself included) were never invited, This is still the culture in this specific office location.",,,,,,,,,,,,,,,,,,,
007,140,123,6/10/2020 14:48,life,"manager,leadership,hr,peers",Struggles with coping to work from home due to myself being a working parent and having a co-parent and child with high needs / mental health needs,,,,,,,,,,,,,,,,,,,
007,141,52,6/10/2020 14:48,career,leadership,I feel I've been overlooked for qualified opportunities.,,,,,,,,,,,,,,,,,,,
007,142,167,6/10/2020 14:48,compensation,"manager,leadership,hr","Denied opportunity for promotion in the past, while male colleagues similarly situated were given more opportunities.",,,,,,,,,,,,,,,,,,,
007,144,103,6/10/2020 14:48,"career,recognition,interactions","manager,leadership",My ideas and contributions are not recognized or acknowledged,,,,,,,,,,,,,,,,,,,
007,145,155,6/10/2020 14:48,access,"manager,leadership",I have not been nominated to serve on important committees while my female colleagues have.,,,,,,,,,,,,,,,,,,,
007,146,93,6/10/2020 14:48,"access,learning,interactions",leadership,"In Toastmasters there was one higher up that would always dismiss my ideas, and I felt it was similar with other women's ideas.",,,,,,,,,,,,,,,,,,,
007,147,119,6/10/2020 14:48,"learning,compensation,recognition,respect",manager,Unable to get further ahead in my career path and there has been no indication of why,,,,,,,,,,,,,,,,,,,
007,148,149,6/10/2020 14:48,"recognition,respect,interactions","manager,leadership,peers",I sometime feel that my contributions are not sufficiently recognized.,,,,,,,,,,,,,,,,,,,
007,149,49,6/10/2020 14:48,interactions,"manager,leadership,peers","I feel included.  Sometimes I am one of few women in meetings, but I haven't felt treated differently.",Positive experience,,,,,,,,,,,,,,,,,,
007,150,120,6/10/2020 14:48,recognition,leadership,Being ignored or overlooked to provide input during meetings by male colleagues and leaders,,,,,,,,,,,,,,,,,,,
007,152,86,6/10/2020 14:48,"skills,learning,career,recognition,respect,interactions","manager,leadership,peers","At one point I was the only woman on a team of 9.  Many opportunities were assigned to my male colleagues before more mundane assignments were assigned to me, even though my previous work experiences would have suggested otherwise.  I felt I was not provided opportunities because I was female.",,,,,,,,,,,,,,,,,,,
007,153,69,6/10/2020 14:48,"respect,interactions",leadership,"In a litigation team of four (two men and two women), the other woman and I were constantly talked over and talked down to by the male members of the team.  The other woman has left the company.",,,,,,,,,,,,,,,,,,,
007,154,81,6/10/2020 14:48,"respect,other",peers,"There were times during meetings with lunch offered when I felt like I had to bring my own lunch, because no one thought to order something vegetarian/vegan.",,,,,,,,,,,,,,,,,,,
007,155,138,6/10/2020 14:48,"access,skills,respect",manager,"My immediate supervisor is a white male. He is on the DLC and considers himself woke. However, one day, I asked for assistance with an inquiry that I was unfamiliar with and he mocked me and said you have two advanced degrees --- more than I have (he does not have an advanced degree) and you should be able to figure it out. I had not had the opportunity to be exposed to those other business areas so I was unfamiliar with the subject matter. Other members of my team who are YOUNG and WHITE appear to have more opportunities and access to projects that give them exposure to other areas of *company* business operations. In other conversations,",,,,,,,,,,,,,,,,,,,
007,156,75,6/10/2020 14:48,"skills,learning","manager,leadership",Offers to contribute are ignored and dismissed. My skills are under-utilized.,,,,,,,,,,,,,,,,,,,
007,157,158,6/10/2020 14:48,"career,recognition,respect","leadership,peers",Not considered as valuable because my college degree was not in the same field as 'typical' for the job.,,,,,,,,,,,,,,,,,,,
007,158,121,6/10/2020 14:48,learning,leadership,Offered development opportunities and achieve goals but there is limited promotion opportunities,,,,,,,,,,,,,,,,,,,
007,159,139,6/10/2020 14:48,"recognition,respect,interactions",manager,My manager doesn't share information with team members so my coworkers and I have to compare notes in order to get the complete information set we need to do our work.,,,,,,,,,,,,,,,,,,,
007,160,60,6/10/2020 14:48,"compensation,career",leadership,It is very difficult to get promoted when you are not part of the buddy buddy system at *company*.,,,,,,,,,,,,,,,,,,,
007,161,146,6/10/2020 14:49,"access,respect","manager,leadership,peers",I am not taken seriously in meetings and my opinions are brushed off as being too positive and/or naieve.,,,,,,,,,,,,,,,,,,,
007,162,110,6/10/2020 14:49,career,leadership,not being brought into upper management meetings,,,,,,,,,,,,,,,,,,,
007,163,83,6/10/2020 14:49,"career,life",leadership,Not considered for a promotion/denied an interview despite being qualified.  This occurred after I asked questions about work/life balance due to my childcare situation.,,,,,,,,,,,,,,,,,,,
007,165,85,6/10/2020 14:49,respect,peers,"I was told that I needed to be softer in my written communication, but then when I requested an example, in review of my email's, he could not identify any examples.",,,,,,,,,,,,,,,,,,,
007,166,59,6/10/2020 14:49,"skills,learning,compensation,career,recognition,respect","manager,leadership,policy,hr","My particular personality type (introverted and analytical) receives less recognition than outspoken and assertive individuals. The ""goals"" for our group seem to try to mold individuals into a particular type of person rather than value the diverse skill sets that exist on my team.",,,,,,,,,,,,,,,,,,,
007,169,68,6/10/2020 14:49,respect,peers,Peers say things that are stereotypes.,,,,,,,,,,,,,,,,,,,
007,170,91,6/10/2020 14:49,"respect,interactions","manager,peers","I have been told that my voice is too loud and my demeanor ""scares"" people. I really make and effort to keep my voice down and it is not my intention to come off as unfriendly, I think my face just have a naturally ""mean"" look maybe.  I try really hard to be friendly with everyone.  I feel like the problem is that I am not 
latin-american like many others in my office as my cultural upbringing is just different from theirs.",,,,,,,,,,,,,,,,,,,
007,171,107,6/10/2020 14:49,compensation,"manager,leadership,hr","As a woman, I am being paid less than my male colleagues with the same title. Also, I'm assigned more work.",,,,,,,,,,,,,,,,,,,
007,172,43,6/10/2020 14:49,"life,respect","manager,leadership,peers","I was told ""you are sick a lot"" because I have bouts of fibromyalgia and need to flex my work hours when it hits. I always get my work done and get highest evals.",,,,,,,,,,,,,,,,,,,
007,174,130,6/10/2020 14:49,"access,respect,interactions",peers,"In the past, I was not always copied on emails that I feel I should have been.",,,,,,,,,,,,,,,,,,,
007,175,175,6/10/2020 14:49,recognition,leadership,"Despite having more practical and *company* experience at a particularly high-level and highly visible surveillance, I was bypassed in favor of someone with zero relevant experience. He did, however, appear to have the support and friendship of the decision-makers that assigned him to that role.",,,,,,,,,,,,,,,,,,,
007,177,110,6/10/2020 14:49,"compensation,recognition",leadership,not promoted,,,,,,,,,,,,,,,,,,,
007,428,151,6/10/2020 15:06,respect,leadership,Opinions not sought - while those of male colleagues were - in meetings,,,,,,,,,,,,,,,,,,,
007,180,152,6/10/2020 14:49,respect,peers,"I have occasionally experienced people interrupting in meetings.  I at times attribute this to being a slow, analytical thinker.",,,,,,,,,,,,,,,,,,,
007,181,149,6/10/2020 14:49,"recognition,respect,interactions","manager,leadership,peers",I sometimes feel that I am not recognized sufficiently for my contributions.,,,,,,,,,,,,,,,,,,,
007,182,105,6/10/2020 14:49,"compensation,career,recognition","manager,leadership","Despite that I have two advanced degrees, and working above and beyond my job description, I have been passed over for promotions.",,,,,,,,,,,,,,,,,,,
007,183,167,6/10/2020 14:49,recognition,"manager,leadership",There have been times when hard work and good outcomes have not been sufficiently recognized.,,,,,,,,,,,,,,,,,,,
007,184,88,6/10/2020 14:49,"respect,interactions","peers,reports","I often get feedback from my direct reports regarding my interactions with them.  Much of the feedback is related to items that differentiate me from the standard ""female"" ideal set of behaviors.",,,,,,,,,,,,,,,,,,,
007,185,182,6/10/2020 14:49,"access,recognition,respect,interactions","manager,leadership","At times, in meetings with my manager and his peers or superiors, my views are not solicited by manager and if I offer them they are not considered or I may be interrupted.",,,,,,,,,,,,,,,,,,,
007,186,163,6/10/2020 14:49,"access,skills,compensation,recognition,respect,interactions","manager,leadership,policy",I feel that I am treated differently because I am married with no children.,,,,,,,,,,,,,,,,,,,
007,187,139,6/10/2020 14:49,"life,respect",manager,My manager sends texts at 7 pm in the evening and expects immediate answers.,,,,,,,,,,,,,,,,,,,
007,189,119,6/10/2020 14:49,"learning,compensation,career,recognition,respect","leadership,hr",Routinely see other individuals with less experience promoted.,,,,,,,,,,,,,,,,,,,
007,190,67,6/10/2020 14:49,"respect,interactions","manager,leadership","When I make a point during meetings (as a woman), men often come in after me and restate my thoughts as if the idea isn't really ""said"" until they restate it.",,,,,,,,,,,,,,,,,,,
007,191,147,6/10/2020 14:49,"access,recognition",manager,Lack of formal recognition while co workers are recognized for much lesser accomplishments.,,,,,,,,,,,,,,,,,,,
